               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073935,            0.025226,                   0,             0.68235,             0.61129,             0.66102,             0.33984,            0.049254,            0.011816,                   0,            0.070055,           0.0033273,           0.0033273
                   1,            0.050447,            0.020469,                   0,             0.75417,             0.69009,              0.7409,             0.40475,            0.041768,            0.011589,                   0,            0.039923,           0.0065287,           0.0065287
                   2,            0.046796,            0.020354,                   0,             0.65129,             0.63004,             0.65073,             0.32702,            0.043884,            0.012253,                   0,           0.0096589,           0.0095982,           0.0095982
                   3,            0.045018,            0.021108,                   0,             0.62333,             0.60022,             0.61868,             0.31529,            0.041686,             0.01317,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.042868,            0.021178,                   0,             0.68126,             0.64924,             0.68316,             0.38979,            0.037289,            0.012255,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.040978,            0.020803,                   0,             0.73954,             0.68882,             0.73859,             0.43022,            0.036838,            0.011667,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.040236,            0.020499,                   0,             0.73144,             0.70908,             0.74755,             0.44061,            0.034938,            0.011446,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.039155,            0.020145,                   0,             0.72531,             0.66492,             0.72644,              0.4363,            0.035562,            0.011932,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.037913,            0.019999,                   0,             0.76814,             0.71841,             0.77434,             0.46042,            0.034499,            0.011265,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.037416,            0.019707,                   0,             0.76723,             0.72404,             0.78109,             0.48605,            0.033119,             0.01114,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.037288,             0.01957,                   0,             0.78556,             0.74092,             0.80353,             0.51052,            0.031466,              0.0108,                   0,            0.008218,            0.008218,            0.008218
                  11,             0.03683,            0.019221,                   0,             0.77145,             0.72658,             0.78961,             0.49087,            0.032455,            0.011013,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.036043,            0.019246,                   0,             0.80644,             0.75363,             0.82215,             0.53143,            0.030636,            0.010527,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.035537,            0.019067,                   0,             0.79011,             0.74976,             0.80906,             0.52202,            0.030711,            0.010606,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.035504,            0.019044,                   0,             0.79104,              0.7519,              0.8172,             0.53627,            0.030069,            0.010376,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.034947,            0.018603,                   0,             0.80071,             0.76591,             0.82634,             0.53412,            0.030376,            0.010407,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.034451,             0.01845,                   0,             0.78742,             0.76344,             0.82203,             0.53477,            0.029415,            0.010259,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.033826,            0.018266,                   0,              0.8064,             0.77869,             0.84026,             0.55831,            0.029202,           0.0098732,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.033852,            0.018407,                   0,             0.81863,             0.78504,             0.85323,             0.58095,            0.028313,           0.0096484,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.033303,            0.017765,                   0,             0.81343,             0.79392,              0.8517,             0.57231,            0.028494,           0.0096612,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.032739,            0.018098,                   0,             0.82805,                 0.8,             0.86013,             0.58241,            0.028282,           0.0095516,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.033043,            0.018084,                   0,             0.82445,             0.79902,             0.85641,             0.58302,            0.027729,           0.0095611,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.032655,            0.017759,                   0,             0.80626,             0.79793,             0.85463,             0.58522,            0.027682,           0.0094421,                   0,            0.005842,            0.005842,            0.005842
