               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045452,            0.065376,            0.016456,               0.695,             0.63441,             0.71361,             0.48159,             0.04056,             0.03694,           0.0093141,              0.0937,              0.0007,              0.0007
                   1,             0.04383,            0.061741,             0.01722,             0.79216,             0.61551,             0.73828,             0.50048,            0.039957,            0.036284,           0.0083976,             0.08647,           0.0014703,           0.0014703
                   2,            0.044741,            0.070152,            0.016006,              0.8174,             0.62728,              0.7453,             0.49952,            0.039652,            0.035721,           0.0076761,            0.079209,           0.0022089,           0.0022089
                   3,            0.044017,            0.062081,             0.01364,               0.817,             0.65031,             0.76109,             0.50759,            0.039762,            0.035544,           0.0070915,            0.071916,           0.0029159,           0.0029159
                   4,            0.044476,             0.06088,            0.013295,             0.81945,             0.65815,             0.77468,             0.51933,            0.039614,            0.035048,           0.0065327,            0.064591,           0.0035911,           0.0035911
                   5,            0.044872,            0.056258,            0.013708,             0.77965,             0.70776,             0.79139,             0.49603,            0.041461,            0.033676,           0.0060589,            0.057235,           0.0042347,           0.0042347
                   6,            0.045033,            0.050513,            0.013368,             0.74257,             0.72741,             0.78018,             0.47354,            0.042792,            0.033408,           0.0059052,            0.049847,           0.0048466,           0.0048466
                   7,            0.047556,            0.060264,            0.010343,             0.75407,             0.73741,             0.78864,             0.49795,            0.042762,            0.032646,           0.0053813,            0.042427,           0.0054268,           0.0054268
                   8,            0.046953,             0.05849,            0.012417,             0.75906,             0.75422,             0.80786,             0.48627,            0.044544,            0.032722,           0.0051208,            0.034975,           0.0059754,           0.0059754
                   9,            0.045696,            0.054928,            0.010127,             0.77135,             0.74237,             0.81176,             0.53191,            0.042674,            0.032215,           0.0050048,            0.027492,           0.0064922,           0.0064922
                  10,            0.047298,            0.062334,            0.010119,             0.75977,             0.75986,             0.80345,             0.49887,            0.045742,            0.031327,           0.0048482,            0.019977,           0.0069774,           0.0069774
                  11,            0.046918,            0.055362,           0.0098431,              0.8362,             0.76839,             0.82589,             0.54936,            0.041455,            0.030519,           0.0046988,            0.012431,           0.0074309,           0.0074309
                  12,            0.045309,            0.049686,            0.011512,              0.8239,             0.77597,              0.8243,             0.53133,            0.042949,            0.030006,           0.0044885,            0.007624,            0.007624,            0.007624
                  13,             0.04602,            0.055304,            0.010993,             0.81595,             0.76363,             0.81299,             0.54693,             0.04188,            0.029454,           0.0044625,            0.007624,            0.007624,            0.007624
                  14,            0.044002,            0.048252,           0.0095227,             0.83041,             0.76042,             0.82904,             0.53971,            0.040872,            0.029006,           0.0043557,            0.007426,            0.007426,            0.007426
                  15,            0.042684,            0.051496,           0.0091204,              0.8354,             0.76178,              0.8317,             0.54881,            0.040119,            0.028919,           0.0042316,            0.007228,            0.007228,            0.007228
                  16,            0.044418,            0.048022,           0.0093781,             0.85697,             0.76665,             0.84242,             0.56244,            0.038191,            0.029074,           0.0043136,             0.00703,             0.00703,             0.00703
                  17,            0.040803,            0.048165,           0.0095967,             0.83492,             0.80489,             0.86232,              0.5929,            0.037784,            0.028584,           0.0039991,            0.006832,            0.006832,            0.006832
                  18,            0.041268,            0.048665,           0.0091515,             0.87317,             0.82074,             0.87559,             0.58223,            0.038183,            0.028248,           0.0038712,            0.006634,            0.006634,            0.006634
                  19,            0.041029,            0.048884,           0.0099344,             0.86771,              0.8133,             0.87846,             0.58368,            0.038673,            0.027684,           0.0037124,            0.006436,            0.006436,            0.006436
                  20,            0.040981,            0.046313,           0.0093024,             0.89904,             0.79887,             0.88258,             0.56693,            0.038462,            0.027598,           0.0035882,            0.006238,            0.006238,            0.006238
                  21,            0.043391,            0.045484,           0.0085558,             0.85121,             0.83739,             0.88854,             0.60155,            0.037566,            0.027311,           0.0036175,             0.00604,             0.00604,             0.00604
                  22,            0.041642,            0.049173,           0.0090575,             0.88145,             0.83948,             0.89828,             0.61876,            0.036161,            0.026784,           0.0035002,            0.005842,            0.005842,            0.005842
                  23,            0.040259,            0.045272,           0.0077769,             0.86075,             0.84367,             0.89984,             0.62386,            0.036133,            0.026585,           0.0035211,            0.005644,            0.005644,            0.005644
                  24,            0.038559,            0.048162,           0.0087384,             0.87567,             0.81549,             0.89525,             0.62479,            0.035424,            0.026089,           0.0034797,            0.005446,            0.005446,            0.005446
                  25,            0.040681,            0.039925,           0.0086706,             0.86582,             0.83927,             0.89843,             0.62634,            0.035927,            0.026126,           0.0032636,            0.005248,            0.005248,            0.005248
                  26,            0.039786,            0.049203,           0.0075402,             0.88704,             0.80315,             0.89239,             0.63378,            0.034816,            0.025979,           0.0032437,             0.00505,             0.00505,             0.00505
                  27,            0.040045,             0.05125,           0.0071807,             0.87373,             0.81909,             0.89271,             0.62146,            0.034752,            0.026251,           0.0032889,            0.004852,            0.004852,            0.004852
                  28,            0.040629,            0.048917,           0.0084331,             0.85286,             0.83014,             0.89551,             0.63314,            0.034099,            0.025863,           0.0031093,            0.004654,            0.004654,            0.004654
                  29,            0.037346,            0.045232,           0.0075706,             0.85143,             0.84591,             0.89656,             0.64333,            0.033606,            0.025478,           0.0030596,            0.004456,            0.004456,            0.004456
                  30,            0.038774,            0.044424,           0.0067991,               0.864,             0.84615,             0.91494,             0.66533,            0.032594,            0.024803,           0.0029726,            0.004258,            0.004258,            0.004258
