               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.021168,            0.014897,                   0,             0.83258,             0.83105,             0.84693,             0.40753,            0.019204,           0.0079532,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.021198,            0.014833,                   0,             0.83876,             0.85845,              0.8085,             0.39164,            0.020537,           0.0077788,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.01963,            0.014474,                   0,             0.82996,             0.82648,             0.83742,             0.40408,            0.020015,           0.0085726,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.021163,            0.014452,                   0,             0.85032,             0.82648,             0.84536,              0.4326,            0.020519,           0.0081238,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.020962,            0.014301,                   0,             0.84503,             0.85845,             0.86127,             0.42619,            0.020188,           0.0081102,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.020329,            0.014587,                   0,             0.83838,              0.8527,             0.85473,             0.42942,            0.019847,            0.008215,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.021257,            0.014219,                   0,               0.823,             0.80822,             0.83409,             0.41182,            0.020477,           0.0082534,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.021253,            0.014462,                   0,              0.8333,             0.87215,             0.83981,             0.40047,            0.018992,           0.0084459,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.020339,             0.01491,                   0,             0.85598,             0.83105,             0.84409,             0.41925,            0.021737,           0.0083696,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.019193,            0.013948,                   0,             0.81773,             0.83992,             0.81387,             0.40524,            0.021195,            0.008002,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.019196,            0.014043,                   0,             0.82227,             0.84504,             0.83155,              0.4013,            0.021594,           0.0081041,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.020201,            0.014238,                   0,             0.84642,             0.85566,             0.84726,             0.40147,            0.020525,           0.0084524,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.019794,            0.014207,                   0,             0.79309,             0.86301,              0.8496,             0.41078,            0.019656,           0.0082647,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.020333,            0.013811,                   0,             0.85991,              0.8409,             0.84587,             0.43341,            0.019771,           0.0081415,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.019157,            0.013705,                   0,             0.83903,             0.84018,             0.84901,              0.4035,            0.020227,           0.0085027,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.019269,            0.013365,                   0,             0.85489,             0.83105,             0.85119,             0.42387,            0.019472,           0.0088279,                   0,            0.004852,            0.004852,            0.004852
                  54,             0.01872,            0.013421,                   0,             0.87633,              0.8413,             0.85443,             0.40991,            0.020113,           0.0090095,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.019378,            0.013767,                   0,             0.84601,             0.85295,             0.86941,             0.43528,            0.020205,           0.0087401,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.018668,            0.013666,                   0,             0.86559,              0.8528,             0.86666,             0.42001,            0.020726,           0.0087024,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.019494,            0.013777,                   0,             0.84104,             0.83562,             0.84444,             0.41255,            0.019463,           0.0088546,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.019574,            0.013561,                   0,             0.83856,             0.85386,             0.84365,             0.40256,            0.021014,            0.008389,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.017926,            0.013218,                   0,             0.86762,               0.838,             0.86562,             0.40795,            0.020401,           0.0086589,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.018388,            0.013142,                   0,             0.83631,             0.84475,             0.84577,             0.39689,            0.020869,           0.0088424,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.018658,            0.013251,                   0,             0.84936,             0.84959,             0.85991,             0.43371,            0.021034,            0.008955,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.018912,            0.013248,                   0,             0.87163,             0.83562,             0.86468,             0.43994,            0.020941,           0.0090058,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.019307,            0.013161,                   0,             0.82872,             0.83952,             0.83781,             0.41329,            0.019995,           0.0089751,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.01706,            0.012815,                   0,             0.84962,             0.82557,             0.83543,             0.40774,             0.02064,           0.0090391,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.018433,            0.012942,                   0,             0.88225,             0.87671,             0.85797,             0.41299,            0.021064,           0.0090262,                   0,            0.003664,            0.003664,            0.003664
                  66,             0.01843,            0.013312,                   0,             0.86342,             0.83714,             0.84061,             0.40969,            0.020592,           0.0089803,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.017217,            0.013014,                   0,             0.86897,             0.84475,              0.8388,             0.41609,            0.021781,           0.0093484,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.017825,             0.01315,                   0,             0.84121,             0.84475,             0.85172,             0.41882,            0.020674,           0.0095719,                   0,            0.003367,            0.003367,            0.003367
                  69,             0.01848,            0.012655,                   0,             0.84292,             0.83314,             0.81899,             0.39163,            0.020619,           0.0094811,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.018194,            0.013076,                   0,             0.85117,             0.83566,             0.85965,             0.42394,            0.021351,           0.0090937,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.017019,            0.012732,                   0,             0.86616,             0.85699,             0.84209,             0.41654,            0.020507,           0.0090278,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.017099,            0.012751,                   0,              0.8612,             0.85388,             0.86555,             0.41842,             0.02119,           0.0091418,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.017035,            0.012647,                   0,             0.88176,             0.83562,             0.85471,               0.417,            0.020697,           0.0092018,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.017574,            0.012376,                   0,             0.86203,             0.82192,             0.82478,             0.39699,            0.021419,           0.0095276,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.016399,            0.012197,                   0,             0.84002,             0.83919,             0.82924,             0.42054,            0.021362,           0.0095066,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.01663,             0.01272,                   0,             0.84508,             0.85388,             0.84063,             0.40238,            0.022323,           0.0095003,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.017184,            0.012444,                   0,             0.85129,             0.85388,             0.85989,             0.41399,            0.020857,           0.0096086,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.016741,            0.012483,                   0,             0.85432,             0.85687,             0.87233,             0.44016,            0.021448,           0.0094616,                   0,            0.002377,            0.002377,            0.002377
