               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063139,            0.028994,                   0,           0.0033798,             0.99543,             0.29744,            0.085312,             0.03544,            0.011227,                   0,            0.067221,           0.0003311,           0.0003311
                   1,            0.049743,            0.027358,                   0,            0.013227,             0.99543,             0.49045,             0.19398,            0.025342,            0.010716,                   0,             0.03409,          0.00053287,          0.00053287
                   2,            0.041125,            0.026776,                   0,             0.61866,             0.53425,               0.604,             0.24758,            0.022983,           0.0093245,                   0,          0.00082636,          0.00060265,          0.00060265
                   3,            0.040661,            0.024548,                   0,             0.64682,             0.60211,             0.68421,             0.27393,            0.021825,           0.0081461,                   0,            0.000406,            0.000406,            0.000406
                   4,            0.035898,            0.022236,                   0,             0.73084,             0.71689,             0.76312,             0.33589,            0.021362,           0.0077353,                   0,            0.000406,            0.000406,            0.000406
