               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075938,            0.025776,                   0,             0.67341,             0.60829,             0.65188,             0.28074,            0.051374,            0.011441,                   0,            0.070061,           0.0033266,           0.0033266
                   1,            0.050808,            0.020467,                   0,             0.63345,             0.66102,             0.66971,             0.34414,            0.042586,            0.010945,                   0,            0.039929,           0.0065281,           0.0065281
                   2,            0.047156,              0.0205,                   0,             0.62929,             0.62979,             0.64975,             0.32465,            0.043725,            0.011521,                   0,            0.009665,           0.0095975,           0.0095975
                   3,             0.04528,            0.021379,                   0,             0.63506,             0.66667,              0.6596,             0.35803,            0.042295,            0.012031,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.042388,            0.021058,                   0,             0.63832,             0.60159,             0.60149,             0.32067,            0.040529,            0.012464,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.041095,            0.020621,                   0,             0.73271,             0.67797,             0.70422,             0.39582,            0.039068,            0.011593,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.040315,            0.020345,                   0,             0.70256,             0.68173,             0.69307,             0.41071,            0.037423,             0.01154,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.038858,            0.020018,                   0,             0.65582,             0.62712,             0.64727,              0.3719,            0.038812,            0.011849,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.038447,            0.019665,                   0,             0.70366,             0.63945,             0.68041,             0.39337,            0.036702,             0.01131,                   0,            0.008614,            0.008614,            0.008614
                   9,              0.0377,             0.01979,                   0,             0.72969,             0.68738,             0.72205,             0.42853,            0.036452,            0.011321,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.037716,            0.019613,                   0,             0.73976,             0.71736,             0.75428,             0.45497,            0.035255,            0.011154,                   0,            0.008218,            0.008218,            0.008218
                  11,             0.03638,            0.019169,                   0,              0.7206,              0.6968,             0.70977,             0.43182,            0.036352,            0.011021,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.036479,            0.019153,                   0,             0.69679,             0.71186,             0.71817,             0.42877,            0.035742,            0.011458,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.035486,            0.018954,                   0,             0.74873,             0.71375,             0.74493,             0.45437,            0.035103,            0.011086,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.035246,            0.019033,                   0,             0.75835,             0.71563,             0.73749,             0.45223,             0.03464,            0.011174,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.035117,             0.01837,                   0,             0.74425,             0.72128,              0.7463,             0.46569,            0.034731,            0.011052,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.034523,            0.018561,                   0,              0.7753,             0.71751,             0.75564,             0.47159,             0.03428,            0.010975,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.033885,            0.018222,                   0,             0.74844,             0.73958,             0.75176,             0.46389,            0.034595,             0.01095,                   0,            0.006832,            0.006832,            0.006832
                  18,             0.03417,            0.018348,                   0,             0.77615,             0.67985,             0.74958,             0.47194,            0.034256,            0.011063,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.033438,            0.018245,                   0,             0.75399,             0.72881,             0.73041,             0.45359,            0.034088,            0.011371,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.033481,            0.018251,                   0,             0.74601,             0.70621,             0.73191,             0.46091,            0.033245,            0.011172,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.032975,            0.017888,                   0,             0.78134,             0.70245,             0.74426,             0.47279,             0.03293,            0.010969,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.032784,            0.017652,                   0,             0.77642,             0.74556,             0.77178,             0.49909,            0.032778,            0.010639,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.032174,            0.018009,                   0,             0.76049,               0.742,             0.76621,             0.48496,            0.032055,            0.010647,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.031958,            0.017988,                   0,             0.75442,             0.72693,              0.7581,             0.47527,            0.032935,            0.010765,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.031392,             0.01719,                   0,             0.75511,             0.74011,             0.76541,              0.4939,            0.033001,             0.01059,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.031608,            0.017747,                   0,             0.80812,             0.72881,               0.779,             0.50022,            0.033392,            0.010724,                   0,             0.00505,             0.00505,             0.00505
                  27,             0.03118,            0.017357,                   0,             0.80017,             0.73147,             0.77824,             0.50214,            0.032476,            0.010543,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.031294,            0.017658,                   0,             0.77454,             0.73258,             0.76475,             0.50315,            0.032195,            0.010621,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.030224,            0.016811,                   0,             0.79645,             0.73688,              0.7789,             0.50537,            0.031953,            0.010655,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.030299,            0.017248,                   0,             0.77316,             0.75518,             0.77854,             0.50793,            0.031497,            0.010415,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.030139,            0.016814,                   0,             0.76785,             0.78531,              0.7763,              0.4951,            0.032132,            0.010491,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.029714,            0.016848,                   0,             0.79976,              0.7646,             0.79405,             0.51827,             0.03134,            0.010343,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.029627,            0.016565,                   0,             0.81039,             0.78343,             0.80409,             0.52908,            0.031466,            0.010351,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.029443,            0.016599,                   0,             0.79937,             0.75706,             0.78897,              0.5179,            0.031484,             0.01051,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.029197,            0.016053,                   0,             0.80327,             0.70433,             0.76969,             0.50312,            0.032293,            0.010783,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.029196,            0.016469,                   0,             0.77963,             0.75141,             0.78216,             0.51862,            0.031188,            0.010474,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.028652,            0.016038,                   0,             0.78033,             0.78938,             0.79303,             0.52101,            0.031614,            0.010531,                   0,            0.002872,            0.002872,            0.002872
                  38,              0.0287,            0.015845,                   0,             0.79189,             0.75245,             0.78735,             0.51918,            0.031433,            0.010428,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.028197,             0.01588,                   0,              0.8147,             0.77831,             0.80919,             0.53333,            0.031677,             0.01025,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.028049,            0.015524,                   0,              0.8262,             0.74388,             0.79788,             0.53071,            0.031724,            0.010386,                   0,            0.002278,            0.002278,            0.002278
